player.id,player.name,team.id.x,rating,position.id,xG,Goal,Shot,Shot_As,Cross,Block,Clearance,Dribble,Dispossessed,Duel,Foul_won,Foul_committed,Pressure,pass
5239,Alireza Jahanbakhsh,797,7.1,12,0.13,0,2,0,1,0,0,8,4,1,2,2,5,9
5240,Saman Ghoddos,797,6.1,12,0,0,0,0,0,0,0,0,0,0,1,2,0,1
5241,Vahid Amiri,797,6.9,15,0,0,0,1,1,0,0,2,1,0,2,3,2,15
3168,Joao Filipe Iria Santos Moutinho,780,6.9,13,0,0,0,2,0,0,1,4,1,0,1,3,3,39
3193,Bernardo Mota Veiga de Carvalho e Silva,780,6.3,17,0,0,0,0,1,0,0,2,2,1,0,2,2,16
3329,Cedric Ricardo Alves Soares,780,6.4,2,0,0,0,1,3,0,0,1,0,0,0,1,1,28
3960,Jose Miguel da Rocha Fonte,780,5.9,5,0,0,0,0,0,0,1,0,0,0,1,0,0,28
4272,Joao Mario Naval da Costa Eduardo,780,6.1,16,0,0,0,1,0,0,0,0,1,1,1,1,0,6
4367,Goncalo Manuel Ganchinho Guedes,780,6.8,22,0.02,0,1,0,0,0,0,1,1,2,2,1,0,15
5204,Bruno Miguel Borges Fernandes,780,6.1,16,0.02,0,1,0,2,0,0,2,0,2,1,1,1,15
5207,Cristiano Ronaldo dos Santos Aveiro,780,9.8,24,1.15,3,5,1,1,0,1,2,1,1,4,0,0,32
5209,Raphael Adelino Jose Guerreiro,780,6.6,6,0,0,0,0,0,0,1,1,4,0,0,0,1,46
5214,William Silva de Carvalho,780,6.4,15,0,0,0,0,0,0,0,1,1,0,0,1,1,45
5215,Ricardo Andrade Quaresma Bernardo,780,6.4,17,0.06,0,2,0,0,0,0,0,2,0,1,1,0,6
5218,Andre Miguel Valente Silva,780,6.2,22,0,0,0,0,1,0,0,0,0,1,0,0,0,2
20016,Kleper Laveran Lima Ferreira,780,6.3,3,0.08,0,1,0,0,0,4,1,0,0,0,2,1,24
3064,David Josue Jimenez Silva,772,7.5,17,0.34,0,3,3,1,0,2,2,3,0,0,2,1,50
4926,Francisco Roman Alarcon Suarez,772,7.4,21,0.05,0,2,0,1,0,0,1,7,3,4,0,0,88
5198,Diego da Silva Costa,772,8.7,23,0.93,2,3,1,1,0,2,2,2,0,0,0,0,17
5199,Jorge Resurreccion Merodio,772,6.5,13,0,0,0,0,3,0,0,1,1,1,1,0,1,75
5200,Lucas Vazquez Iglesias,772,6,17,0,0,0,0,1,0,0,1,0,0,0,0,1,4
5201,Sergio Ramos Garcia,772,6.5,5,0,0,0,0,1,0,1,3,0,0,0,0,3,112
5202,Jose Ignacio Fernandez Iglesias,772,7.8,2,0.04,1,1,0,1,0,0,4,4,0,1,4,4,57
5203,Sergio Busquets i Burgos,772,7.2,10,0.06,0,1,0,1,0,0,3,0,1,4,2,1,66
5208,Thiago Alcantara do Nascimento,772,6.3,15,0,0,0,1,0,0,0,1,2,0,1,0,1,26
5211,Jordi Alba Ramos,772,6.4,6,0,0,0,1,2,0,0,1,0,0,0,1,1,75
5213,Gerard Pique Bernabeu,772,6.2,3,0,0,0,0,0,0,3,2,0,0,0,2,0,66
5216,Andres Iniesta Lujan,772,6.7,15,0.08,0,1,1,0,0,0,0,4,0,1,0,0,61
5217,Iago Aspas Juncal,772,6,23,0.06,0,1,0,0,0,0,0,0,0,0,0,0,5
3168,Joao Filipe Iria Santos Moutinho,780,8.1,13,0,0,0,1,7,0,2,9,0,0,3,5,5,33
3193,Bernardo Mota Veiga de Carvalho e Silva,780,6.8,12,0,0,0,0,0,0,0,3,0,4,1,0,3,15
3329,Cedric Ricardo Alves Soares,780,7.6,2,0,0,0,0,4,0,5,7,0,1,2,3,7,33
